word,frequencies
的,5485643
是,2391285
在,1382994
一,1167854
不,1746748
有,807019
这,1096009
个,823474
上,385457
也,399872
他,1369106
人,555355
就,704752
对,407220
说,727253
我,5569855
要,896408
到,750390
大,182375
我们,1206514
多,233783
把,374912
来,653515
等,128338
年,98677
两,140070
从,150245
而,120447
能,534657
又,128069
他们,489380
以,47938
时,89469
没有,402796
会,925315
之,72782
但,251678
三,105681
被,216340
很,669223
下,175380
自己,175706
后,75089
中国,10043
并,63696
使,19917
向,61601
已,35072
出,137127
用,128909
新,63414
所,60872
里,284482
给,404422
她,650448
更,101637
次,164144
最,121822
于,33778
可以,272278
可,90741
去,610917
由,26043
问题,85483
小,177003
工作,90728
让,374899
其,21226
你,4647754
这个,272560
生活,48629
起,59607
这样,232426
天,205016
它,221854
高,43452
做,389120
家,128039
已经,160396
再,182808
或,55337
才,114558
前,65005
走,299736
这些,121725
一些,53975
却,44396
二,69544
条,45320
位,56413
起来,83844
各,7940
成,46755
什么,833297
元,13535
现在,279043
社会,7263
比,117162
同,38736
四,49876
关系,23328
名,40085
想,714039
如,13962
第一,54104
因为,172648
该,108217
开始,97102
许多,10965
内,34875
时间,92648
人们,24243
今天,81034
国家,21299
本,44360
点,379174
思想,3932
至,7216
此,27122
一定,86255
如果,212665
副,6976
无,30035
张,37214
同时,9161
需要,133723
月,55083
则,6321
重要,40204
为了,61908
日,25848
老,69396
就是,238384
作,18578
五,60816
人民,6616
事,266700
认为,71960
成为,33280
像,176647
北京,1084
历史,10046
水,38374
方面,7868
情况,32719
而且,48970
党,6269
学生,10213
每,93482
这里,222313
但是,123039
孩子,117091
可能,105367
发生,74851
必须,69147
只有,57050
外,15164
要求,16594
全,41100
发现,53791
进行,19679
特别,22541
因,14022
岁,37180
得到,44923
件,66580
文化,2955
分,38290
便,15141
同志,6013
发展,5201
即,3644
日本,9196
总,25621
因此,13079
对于,11886
领导,4244
带,136464
既,3649
时候,126171
钱,103367
自,9837
政府,14164
吃,109740
非,10520
决定,32329
进,83739
还是,103947
受,21456
国,15047
应该,117516
近,10573
美,39756
政治,5367
话,118822
公司,33146
干部,257
出现,23136
开,101989
一切,77377
研究,13181
认识,47688
写,50545
十分,11253
十,76146
站,35260
之间,16759
问,79608
希望,83100
快,264735
虽然,20433
相,5604
美国,40127
知道,427843
讲,30678
大家,67384
学校,18014
组织,11431
见,137013
由于,5662
正在,38649
法,36371
表示,7331
一样,93758
活动,8211
如何,40556
教育,3937
书,28714
据,3848
城市,13367
道,187395
艺术,5967
经济,3368
以及,11555
部,32135
影响,10969
太,205390
其中,13981
学,31348
先生,163215
完全,34270
连,34443
主要,5347
继续,44199
头,48756
革命,3110
之后,34681
参加,20263
能够,16854
住,86626
上海,1634
经过,8620
非常,68864
低,7590
甚至,23326
听,210291
先,65490
一直,76596
学习,8854
仍,9782
办,47944
所以,109313
代表,12809
变,38364
最后,45701
一起,116121
万,35402
所有,86504
那么,113139
心,39832
越,16830
较,2948
办法,31598
路,38065
有些,28268
未,10059
通过,16740
找,232914
按,13061
拿,124098
解决,18228
一般,8152
另,31250
经,3802
半,20493
强,16164
或者,32976
时代,6468
手,56778
作品,6172
不断,6850
以后,25312
关于,26756
青年,1330
各种,4374
真,319173
其他,45874
农民,1521
那些,77724
余,1151
段,19528
有的,8317
买,55304
根本,31148
县,1560
作者,1578
者,60532
请,129201
叫,150285
感到,20795
怎么,331707
任何,59191
六,35769
表现,10713
反,5628
存在,16772
然而,4427
准备,68812
送,55019
约,54469
比较,13947
书记,258
爱,146211
单位,2419
群众,1003
应当,1110
王,16026
早,29427
女,63317
门,40045
个人,88894
座,15580
全国,3904
意义,10005
花,35379
条件,5898
环境,5098
了解,34128
搞,58809
力量,13251
不仅,4046
目前,9779
经验,5529
产生,6082
真正,23960
回,149002
队,27004
有关,14926
字,13783
会议,6330
生命,23050
今年,5528
努力,16607
靠,22524
八,25065
市,11117
类,12400
共,5123
意见,6270
死,186914
民族,1236
块,35954
只要,41195
文学,1058
成功,21093
变化,4826
句,10924
管,23556
你们,331065
指,16223
地区,4845
方,11001
和,417914
项,7703
注意,24544
当然,86169
达,47710
面,29973
坐,66435
家庭,12267
原因,21397
进入,16875
病,11568
介绍,10613
下来,50069
事情,71358
方式,15032
首,12005
计划,30005
人类,20026
报告,14437
世纪,5426
方法,13720
入,17964
信,35057
化,7944
步,12753
生,31185
声,26986
图,11730
电话,79739
能力,11489
片,23642
作用,4444
台,10534
如此,34043
困难,6126
多少,37557
打,145225
为什么,176633
随着,2672
谈,79564
支,9822
村,5948
米,64187
农村,321
具有,2415
现代,2486
全部,16142
运动,6555
原,8230
内容,3781
帮助,27263
文艺,235
放,90324
主任,2155
别,261351
事业,4210
汽车,7330
李,14221
技术,6417
中央,3008
口,10785
跟,257124
极,22603
记者,7015
只是,145994
报,11189
人员,8944
以来,5231
边,37746
觉得,119815
您,89872
双,13866
左右,4342
建设,982
利用,9385
称,22898
怎样,47151
行为,10164
于是,7407
朋友,88697
正是,10530
受到,10251
人物,5483
深,11335
接受,22424
来到,14684
百,23896
这么,156901
山,31079
电,5276
发表,2998
些,50544
原来,14140
生产,2421
往,24739
大学,13453
认真,10859
过程,4982
有人,65308
风,12458
创造,7383
抓,30184
增加,3624
不过,78459
以上,2464
七,24355
它们,42131
南,13563
无法,35621
时期,2910
更加,5040
传统,3931
支持,10605
根据,8108
市场,3989
包括,7167
直接,13061
份,33900
机会,27496
政策,1871
科学,5877
几乎,10439
提高,2564
批,3313
金,31843
坚持,10945
可是,52237
实际,2393
完成,17641
引起,5226
代,7944
责任,7623
后来,11240
劳动,837
任务,16587
知识,2586
周,28307
部队,7088
底,6229
部分,8625
母亲,23373
首先,9788
期,4259
保护,23337
理论,3999
形式,2012
医院,16410
不可,43102
云,5047
行动,22308
仍然,10271
处理,19705
远,25895
去年,5161
形成,3512
跑,53207
改变,25900
那样,49798
香港,5339
相信,82593
九,18289
中,101059
老师,18822
新闻,12047
红,14524
仅,5353
地位,2114
除了,15716
企业,2619
刚,34280
加,51340
终于,17029
主席,3104
严重,11135
容易,13872
法律,9371
建立,4818
还,365644
其实,27437
服务,8790
意识,8091
自由,18083
实现,4752
着,245315
那,601583
光,21601
达到,4107
然后,88225
战争,17877
态度,3904
改革,1004
不是,336095
现实,7374
种,129747
说明,6984
使用,12154
初,4792
回答,15775
马,88348
共同,3145
卖,26961
规定,4153
一下,116190
管理,4758
越来越,8644
如今,4027
社会主义,727
年代,4929
变成,22249
中心,9664
北,8280
东,16807
父亲,43630
国际,4994
高兴,48136
理解,15373
保持,17283
了,2956415
当,103730
选择,25396
某,13597
心理,4794
尽管,9413
气,13361
且,2459
斗争,1657
反对,7489
创作,1676
虽,1683
造成,6766
是否,21910
下去,29572
总是,31659
派,27643
获得,8209
联系,13944
之一,10936
也是,57692
城,19535
所谓,5233
安排,12046
目的,7199
伟大,12732
工人,3264
制度,1414
