word,frequencies
的,5200142
是,2328686
在,1287500
一,75749
不,620268
有,652275
这,831852
个,314185
上,168744
也,442018
他,1321270
人,317123
就,683450
对,340279
说,626808
我,5368832
要,598596
到,200487
大,67229
我们,1206599
多,99517
把,364885
来,405723
等,113215
年,44483
两,11659
从,115740
而,100130
能,281779
又,126902
他们,489419
以,30196
时,68465
没有,402797
会,509630
之,42109
但,244684
三,17060
被,201840
很,480087
下,63364
自己,177840
后,59969
中国,10741
并,59000
使,17591
向,48939
已,27741
出,29118
用,84498
新,41896
所,24459
里,111202
给,345673
她,648804
更,56133
次,7360
最,62523
于,13863
可以,283478
可,64644
去,469370
由,23748
问题,106304
小,66137
工作,92775
让,347263
其,9049
你,4513310
这个,272560
生活,53053
起,17094
这样,233144
天,80659
它,213523
高,24562
做,345190
家,33881
已经,160709
再,131525
或,54714
才,107901
前,38155
走,213759
这些,121725
一些,53980
却,41432
二,11833
条,7598
位,6031
起来,126021
各,3544
成,18404
什么,1068725
元,5381
现在,284317
社会,9507
比,67846
同,5154
四,7703
关系,50060
名,9267
想,440441
如,9770
第一,55090
因为,173461
该,86590
开始,97299
许多,11034
内,17201
时间,101154
人们,28455
今天,81294
国家,21848
本,19693
点,104269
思想,4157
至,4958
此,9483
一定,89053
如果,213490
副,3754
无,8913
张,17083
同时,10019
需要,133900
月,33374
则,5175
重要,40937
为了,64306
日,14373
老,28633
就是,241888
作,7519
五,6572
人民,7299
事,186787
认为,72476
成为,33437
像,146330
北京,1125
历史,10298
水,17028
方面,10060
情况,33074
而且,48971
党,1907
学生,12969
每,17863
这里,222313
但是,123130
孩子,117670
可能,131892
发生,75253
必须,69181
只有,57361
外,5463
要求,17034
全,21138
发现,54316
进行,20203
特别,22544
因,9933
岁,21673
得到,47894
件,8074
文化,3106
分,10851
便,11873
同志,6031
发展,5298
即,2427
日本,9428
总,11979
因此,13084
对于,12053
领导,4365
带,68520
既,3111
时候,146275
钱,69341
自,3996
政府,15167
吃,88076
非,6360
决定,32672
进,18391
还是,104046
受,9884
国,3601
应该,117573
近,7645
美,18229
政治,6102
话,24526
公司,33625
干部,273
出现,23190
开,35828
一切,77409
研究,14897
认识,47706
写,35683
十分,11253
十,2823
站,23150
之间,16771
问,61310
希望,83112
快,145466
虽然,20433
相,2677
美国,40791
知道,593632
讲,22490
大家,68177
学校,22432
组织,11598
见,57334
由于,5668
正在,38898
法,7397
表示,7379
一样,105237
活动,8475
如何,44909
教育,4422
书,15018
据,2276
城市,13390
道,8752
艺术,10136
经济,4053
以及,11578
部,4809
影响,10973
太,97671
其中,13992
学,11580
先生,163881
完全,34473
连,26210
主要,5441
继续,44295
头,18861
革命,3453
之后,34821
参加,20411
能够,17248
住,43339
上海,1655
经过,11202
非常,72870
低,4595
甚至,23443
听,126018
先,48656
一直,76686
学习,9505
仍,9177
办,7261
所以,111221
代表,13161
变,11377
最后,45853
一起,116505
万,10534
所有,89298
那么,113325
心,15658
越,5990
较,1751
办法,31599
路,20955
有些,29867
未,6569
通过,17150
找,139312
按,10862
拿,80126
解决,18411
一般,8710
另,23035
经,2305
半,5984
强,12463
或者,32981
时代,6977
手,28204
作品,6322
不断,7115
以后,25397
关于,27609
青年,1518
各种,5026
真,81397
其他,46525
农民,1546
那些,77724
余,684
段,1124
有的,0
买,39662
根本,31161
县,739
作者,2103
者,11418
请,110875
叫,136911
感到,21025
怎么,394611
任何,64423
六,4342
表现,10899
反,3402
存在,17196
然而,4875
准备,69540
送,28281
约,11220
比较,14014
书记,383
爱,96173
单位,2434
群众,1010
应当,1195
王,8739
早,19915
女,11910
门,17564
个人,111328
座,7700
全国,3916
意义,12069
花,24946
条件,6380
环境,5158
了解,34444
搞,26544
力量,13843
不仅,6775
目前,9810
经验,5576
产生,6126
真正,24011
回,25364
队,10376
有关,17622
字,8280
会议,7279
生命,25064
今年,5563
努力,16607
靠,18557
八,3843
市,4161
类,1190
共,2481
意见,7583
死,110995
民族,1538
块,7714
只要,41257
文学,1772
成功,21783
变化,4943
句,5293
管,12185
你们,331065
指,10986
地区,5012
方,3135
和,419143
项,698
注意,26991
当然,87013
达,19677
面,5729
坐,27101
家庭,13852
原因,21397
进入,17023
病,9612
介绍,10812
下来,69767
事情,75384
方式,16091
首,2522
计划,30351
人类,21549
报告,14847
世纪,6222
方法,14131
入,4306
信,15294
化,2033
步,1828
生,15729
声,6517
图,5068
电话,85702
能力,11695
片,6279
作用,5501
台,3476
如此,35584
困难,6126
多少,38796
打,65841
为什么,177822
随着,3315
谈,27504
支,3686
村,3150
米,24364
农村,326
具有,2496
现代,2851
全部,16712
运动,9245
原,3735
内容,3792
帮助,27263
文艺,462
放,29039
主任,2411
别,189817
事业,4489
汽车,7934
李,10792
技术,6745
中央,3344
口,3508
跟,236831
极,3044
记者,7057
只是,150158
报,3112
人员,9316
以来,8516
边,8490
觉得,128888
您,79366
双,2262
左右,4652
建设,1018
利用,9670
称,20337
怎样,47151
行为,11051
于是,8000
朋友,106635
正是,11065
受到,12702
人物,8154
深,5188
接受,22492
来到,15142
百,1384
这么,157611
山,8822
电,2157
发表,3033
些,44534
原来,14145
生产,2763
往,12381
大学,14769
认真,10883
过程,5004
有人,102863
风,9062
创造,7591
抓,16073
增加,3626
不过,79633
以上,3567
七,4280
它们,42131
南,6119
无法,35988
时期,3093
更加,5040
传统,3944
支持,10944
根据,8210
市场,4334
包括,7168
直接,13105
份,7346
机会,33792
政策,1920
科学,10701
几乎,10440
提高,2564
批,1029
金,16583
坚持,10961
可是,52272
实际,12153
完成,17993
引起,5226
代,3766
责任,9228
后来,11802
劳动,1241
任务,17287
知识,2883
周,3442
部队,7438
底,1759
部分,19087
母亲,23854
首先,9838
期,1248
保护,24184
理论,4998
形式,2110
医院,16809
不可,53951
云,3969
行动,23024
仍然,10271
处理,20801
远,12909
去年,5178
形成,3553
跑,42978
改变,25907
那样,49798
香港,5347
相信,82866
九,3569
中,77283
老师,18868
新闻,12132
红,7614
仅,3263
地位,2174
除了,18143
企业,2907
刚,27726
加,15429
终于,17061
主席,3150
严重,11135
容易,18231
法律,9630
建立,4870
还,279885
其实,27708
服务,11454
意识,10134
自由,18849
实现,4814
着,172800
那,490458
光,7781
达到,4195
然后,88452
战争,18046
态度,3924
改革,1087
不是,396222
现实,7609
种,11504
说明,7417
使用,12296
初,3910
回答,16050
马,34518
共同,4226
卖,17767
规定,4303
一下,117835
管理,7201
越来越,8644
如今,4106
社会主义,730
年代,4966
变成,22857
中心,11539
北,3734
东,6399
父亲,43665
国际,5436
高兴,48160
理解,15646
保持,17317
了,2801193
当,91298
选择,25564
某,3461
心理,7396
尽管,9414
气,5942
且,2370
斗争,1660
反对,7565
创作,1699
虽,972
造成,7247
是否,22006
下去,32528
总是,31669
派,18004
获得,8215
联系,14305
之一,11080
也是,0
城,7149
所谓,10394
安排,12101
目的,10885
伟大,12741
工人,3404
制度,1531
精神,16943
小时,39690
似乎,12563
篇,1182
制,1076
没,207054
下午,10545
算,14446
乱,5610
谁,188998
黑,27515
尤其,5471
老人,5722
部门,4529
儿,9713
水平,2235
按照,3743
机关,1934
心里,7987
民,1309
离开,77936
身体,17175
层,1668
笑,18675
吗,994356
面前,10258
基础,1968
树,7538
别人,36294
海,8272
常,18459
以前,40402
军,2270
读,11103
性,5324
价值,6417
套,4885
干,56097
结束,32122
妇女,2555
教授,9213
军事,3614
基本,5494
儿子,39921
西,21622
除,1343
区,8342
改,4155
并且,12812
那里,68693
均,1029
画,15282
建,2540
满,5435
统一,1147
重新,13203
方向,8633
活,18880
子,13757
往往,975
考虑,17261
重大,3107
收,5735
旧,5081
之中,6020
人才,3021
总统,15937
感觉,56602
清,2639
具体,2483
式,3691
文章,3144
现象,2157
立即,4590
材料,2336
不得,18578
定,5121
证明,17016
热,8931
年轻,21299
接,17563
事实,25557
白,11056
分别,1749
矛盾,1517
不再,17211
积极,1628
语言,4347
千,3116
巨大,6687
节,2126
安全,34866
提供,10382
讨论,9184
取得,3407
始终,2103
程度,3493
留,12475
分析,4156
消息,24852
检查,15763
宣传,2426
世界,61107
相当,7464
好,728550
英国,12990
合作,9935
发出,5414
电影,24810
另外,10949
身上,21540
线,5217
肯定,44385
举行,4159
目标,15182
反映,857
量,2212
笔,2904
医生,45589
成立,1929
交,3547
充分,1513
林,13437
突然,16001
工程,4099
户,547
一边,9869
永远,38875
标准,3201
原则,2425
同样,9389
控制,18820
队伍,3344
结构,1967
晚上,32529
指出,1389
调查,20894
立,3246
农业,660
家里,16859
难,16191
清楚,35863
采取,4404
群,4579
集中,5107
进一步,2031
明显,7241
粮食,878
省,2033
结合,2027
保证,23114
团,1937
过,230393
喜欢,142367
动,10077
最近,17275
穿,30218
文,8884
收入,2019
求,21001
实行,624
提,18147
及,7157
面对,10418
愿意,27526
厂,686
