word,frequencies
的,10923276
是,2978246
在,1753754
一,2713747
不,2286654
有,1598054
这,1459129
个,1377496
上,717168
也,840103
他,365688
人,1224718
就,1009231
对,348552
说,631677
我,3149651
要,938693
到,1076072
大,897406
我们,545340
多,696462
把,288044
来,755075
等,211761
年,431799
两,276696
从,187825
而,259089
能,692105
又,350254
他们,137672
以,119804
时,202512
没有,390822
会,821041
之,346192
但,192527
三,402943
被,354309
很,894365
下,358547
自己,442893
后,241334
中国,397941
并,86843
使,27650
向,86734
已,99150
出,295821
用,316072
新,403176
所,75818
里,411034
给,452657
她,163773
更,301178
次,330078
最,668837
于,151737
可以,400851
可,174409
去,727733
由,50182
问题,103072
小,918702
工作,102574
让,423879
其,76523
你,2380078
这个,516530
生活,215733
起,217451
这样,326964
天,537721
它,158414
高,205042
做,418636
家,370241
已经,163699
再,263759
或,76235
才,276250
前,145473
走,279222
这些,88626
一些,54735
却,109653
二,238609
条,144267
位,140898
起来,115237
各,49115
成,201897
什么,435751
元,132239
现在,239548
社会,45808
比,207266
同,124473
四,148957
关系,30838
名,112039
想,685847
如,94503
第一,183018
因为,157561
该,105201
开始,160879
许多,23357
内,87953
时间,146910
人们,30906
今天,328855
国家,68833
本,137076
点,316497
思想,16263
至,62223
此,97476
一定,143008
如果,203330
副,19013
无,166008
张,352487
同时,32822
需要,117453
月,323628
则,35233
重要,72927
为了,76804
日,282314
老,313659
就是,436153
作,38946
五,146097
人民,54852
事,196365
认为,32569
成为,61432
像,179700
北京,314828
历史,51537
水,194775
方面,12190
情况,36348
而且,35958
党,19934
学生,26855
每,330765
这里,146095
但是,74680
孩子,130508
可能,76714
发生,35196
必须,77738
只有,94653
外,60968
要求,26745
全,141641
发现,109567
进行,34263
特别,66833
因,38677
岁,84344
得到,32704
件,75444
文化,75400
分,111955
便,39678
同志,14335
发展,39079
即,26499
日本,82037
总,147562
因此,10255
对于,29851
领导,32274
带,207853
既,15832
时候,212240
钱,111498
自,119448
政府,33069
吃,520967
非,48393
决定,36700
进,98407
还是,284991
受,36047
国,113793
应该,141056
近,40538
美,353607
政治,12546
话,104651
公司,97210
干部,4280
出现,41695
开,186287
一切,69128
研究,22106
认识,36712
写,105947
十分,19298
十,217855
站,78401
之间,28055
问,91210
希望,133513
快,223639
虽然,51700
相,31924
美国,82592
知道,157212
讲,45129
大家,300176
学校,22558
组织,18536
见,167895
由于,11949
正在,50893
法,55168
表示,36880
一样,112356
活动,113785
如何,78547
教育,27462
书,121338
据,18620
城市,78893
道,180320
艺术,48415
经济,24853
以及,29251
部,100471
影响,31042
太,587988
其中,27733
学,108744
先生,49049
完全,37256
连,80210
主要,23319
继续,66470
头,100003
革命,8311
之后,48118
参加,52213
能够,26579
住,128352
上海,119800
经过,17322
非常,78631
低,38396
甚至,16340
听,146956
先,93328
一直,103074
学习,58207
仍,15271
办,46728
所以,86666
代表,32802
变,96621
最后,117101
一起,194825
万,136091
所有,83469
那么,135112
心,301284
越,90168
较,15903
办法,20048
路,129773
有些,56707
未,38716
通过,33178
找,166500
按,21853
拿,94392
解决,25449
一般,42188
另,35763
经,26855
半,70292
强,90286
或者,37784
时代,42207
手,111032
作品,43617
不断,21917
以后,74472
关于,32731
青年,35819
各种,80852
真,517159
其他,36501
农民,7050
那些,87404
余,26627
段,64192
有的,30515
买,178109
根本,18988
县,30112
作者,20835
者,170296
请,220034
叫,170216
感到,11157
怎么,270429
任何,34294
六,89573
表现,18371
反,23127
存在,24021
然而,4747
准备,73072
送,116097
约,48270
