word,frequencies
的,10628070
是,2829388
在,1647503
一,337593
不,755535
有,1441403
这,1103596
个,502072
上,379220
也,934602
他,347643
人,835714
就,977910
对,284219
说,554249
我,3026309
要,595389
到,352632
大,359469
我们,545426
多,322587
把,268748
来,393949
等,201038
年,268687
两,32976
从,159628
而,176773
能,412615
又,344367
他们,137679
以,88692
时,151183
没有,390824
会,519718
之,248075
但,185781
三,67577
被,330056
很,597481
下,169053
自己,446924
后,175154
中国,417152
并,78587
使,23688
向,61385
已,71246
出,76726
用,226174
新,158057
所,32525
里,192998
给,464304
她,162387
更,176409
次,27242
最,343165
于,81846
可以,411377
可,121331
去,544745
由,45385
问题,108212
小,509339
工作,109241
让,391359
其,44149
你,2299848
这个,516530
生活,230865
起,83331
这样,327256
天,140259
它,149950
高,117085
做,331640
家,104162
已经,164346
再,187996
或,73640
才,263203
前,79386
走,136322
这些,88626
一些,54757
却,99460
二,66542
条,23528
位,22050
起来,154366
各,26541
成,79626
什么,588210
元,94245
现在,247989
社会,56298
比,144030
同,28442
四,24401
关系,39584
名,34285
想,371815
如,61505
第一,189767
因为,158384
该,80555
开始,161000
许多,23477
内,45669
时间,168199
人们,41214
今天,329833
国家,74287
本,42133
点,183444
思想,17089
至,50154
此,46822
一定,155647
如果,205459
副,8047
无,75481
张,201812
同时,33631
需要,117588
月,243999
则,28937
重要,73859
为了,82174
日,189629
老,199148
就是,438874
作,18659
五,18603
人民,74852
事,118994
认为,33757
成为,61998
像,148605
北京,322666
历史,53517
水,69720
方面,16592
情况,36854
而且,35960
党,13073
学生,47760
每,68216
这里,146095
但是,74987
孩子,142559
可能,89083
发生,35682
必须,77766
只有,95070
外,26019
要求,27161
全,64364
发现,110352
进行,35158
特别,66965
因,30335
岁,56539
得到,35388
件,17972
文化,79382
分,41751
便,27089
同志,14465
发展,39897
即,18479
日本,83148
总,98440
因此,10264
对于,30670
领导,32898
带,116641
既,12101
时候,306836
钱,58185
自,84731
政府,36490
吃,418798
非,30883
决定,36877
进,33465
还是,285288
受,20934
国,27277
应该,141211
近,25546
美,181417
政治,14211
话,92903
公司,98434
干部,4558
出现,41887
开,78322
一切,69240
研究,28146
认识,36760
写,72904
十分,19298
十,6823
站,39338
之间,28086
问,72376
希望,133906
快,115301
虽然,51700
相,13543
美国,84213
知道,257273
讲,31008
大家,303282
学校,27923
组织,18931
见,80244
由于,11973
正在,51341
法,19408
表示,37299
一样,138810
活动,115123
如何,80931
教育,29090
书,56063
据,15819
城市,79689
道,37405
艺术,66120
经济,33500
以及,29358
部,15309
影响,31666
太,383697
其中,27797
学,48997
先生,51149
完全,37759
连,47140
主要,24199
继续,66759
头,30216
革命,10115
之后,48359
参加,52694
能够,27260
住,49837
上海,121073
经过,20450
非常,81697
低,26753
甚至,16478
听,90474
先,69117
一直,103341
学习,60825
仍,14226
办,16882
所以,92057
代表,35670
变,40788
最后,117140
一起,195078
万,50018
所有,85098
那么,136466
心,214088
越,60381
较,9767
办法,20057
路,66566
有些,57731
未,24324
通过,33859
找,108271
按,20030
拿,60906
解决,26202
一般,44548
另,27483
经,13861
半,20017
强,50822
或者,37801
时代,47182
手,52802
作品,45045
不断,22758
以后,74733
关于,33371
青年,38670
各种,82062
真,171612
其他,37796
农民,8996
那些,87404
余,12398
段,13711
有的,0
买,127470
根本,19067
县,3876
作者,24709
者,37918
请,188990
叫,154909
感到,11479
怎么,290874
任何,37197
六,12336
表现,18954
反,11152
存在,24530
然而,7293
准备,74062
送,68366
约,25661
比较,51845
书记,7450
爱,491400
单位,11817
群众,8221
应当,3027
王,153768
早,56903
女,69057
门,19007
个人,196114
座,20512
全国,33433
意义,26607
花,93000
条件,11811
环境,32186
了解,34122
搞,40580
力量,26174
不仅,25255
目前,32816
经验,13336
产生,12378
真正,62406
回,44199
队,12839
有关,19006
字,61345
会议,13803
生命,66091
今年,58578
努力,67560
靠,65142
八,13582
市,10749
类,10063
共,13336
意见,10765
死,118888
民族,18637
块,13979
只要,51145
文学,9463
成功,67288
变化,17368
句,34985
管,17867
你们,224205
指,12259
地区,19072
方,21270
和,811742
项,3017
注意,56156
当然,28939
达,29401
面,35335
坐,40644
家庭,22099
原因,28830
进入,26535
病,15951
介绍,18574
下来,51635
事情,61968
方式,46791
首,13235
计划,24426
人类,33504
报告,13706
世纪,16932
方法,31375
入,28572
信,70846
化,17811
步,5421
生,63698
声,19725
图,232863
电话,49897
能力,29517
片,25613
作用,14293
台,30172
如此,70322
困难,10306
多少,88836
打,75420
为什么,110423
随着,10297
谈,17998
支,4756
