word,frequencies
的,15069675
是,3194610
在,4250224
一,2888915
不,986173
有,1444866
这,691523
个,1541549
上,1083670
也,820992
他,1136344
人,1681380
就,294501
对,628052
说,229003
我,205093
要,225988
到,842311
大,1377480
我们,76995
多,715587
把,164558
来,420117
等,767586
年,7068585
两,618359
从,388806
而,1036762
能,326098
又,310204
他们,255773
以,1044508
时,856914
没有,285421
会,914157
之,995941
但,650792
三,1054331
被,1232733
很,249772
下,556060
自己,231724
后,1101944
中国,755072
并,953261
使,221535
向,337532
已,273519
出,587937
用,281967
新,772385
所,549082
里,805977
给,204858
她,315536
更,258116
次,510450
最,617191
于,1790619
可以,371759
可,408099
去,139585
由,899696
问题,143211
小,501666
工作,223829
让,189621
其,731671
你,91805
这个,153264
生活,129339
起,244053
这样,52092
天,371087
它,244956
高,603811
做,126939
家,569348
已经,132678
再,148057
或,478222
才,130303
前,472910
走,77843
这些,147236
一些,140379
却,133801
二,936846
条,191692
位,364348
起来,30791
各,215070
成,410959
什么,23017
元,309303
现在,85430
社会,139076
比,370234
同,380335
四,531571
关系,133299
名,680460
想,94582
如,196253
第一,418699
因为,239254
该,732264
开始,347855
许多,128248
内,526848
时间,198541
人们,39271
今天,18990
国家,343482
本,479193
点,190012
思想,32713
至,687702
此,388532
一定,35576
如果,80301
副,221279
无,223387
张,390881
同时,203256
需要,109784
月,3577759
则,385369
重要,114866
为了,131101
日,2815818
老,78381
就是,96452
作,261858
五,440334
人民,211340
事,116736
认为,235388
成为,355635
像,108001
北京,159130
历史,277254
水,265274
方面,79521
情况,100740
而且,59669
党,213842
学生,119836
每,321389
这里,30752
但是,122525
孩子,36849
可能,177282
发生,148831
必须,68389
只有,89347
外,204222
要求,103622
全,219437
发现,171552
进行,302913
特别,106461
因,365220
岁,219198
得到,95352
件,56665
文化,184950
分,417150
便,116745
同志,10415
发展,194749
即,194006
日本,479921
总,301363
因此,224025
对于,89686
领导,80907
带,144977
既,20547
时候,52390
钱,53122
自,253213
政府,310254
吃,32286
非,153742
决定,121300
进,133834
还是,47149
受,139993
国,584850
应该,33399
近,304445
美,356617
政治,213880
话,122474
公司,420393
干部,19663
出现,166300
开,164576
一切,28146
研究,364773
认识,21579
写,88068
十分,42849
十,748796
站,581170
之间,147057
问,23433
希望,63738
快,65864
虽然,109639
相,73692
美国,530356
知道,29874
讲,29570
大家,18561
学校,173507
组织,171312
见,100009
由于,237397
正在,34125
法,330392
表示,179144
一样,57765
活动,158018
如何,24151
教育,157667
书,201676
据,58350
城市,150938
道,388613
艺术,95705
经济,135644
以及,303097
部,696346
影响,159518
太,227288
其中,285498
学,361993
先生,47383
完全,72458
连,374867
主要,284304
继续,78890
头,133964
革命,65940
之后,225836
参加,153947
能够,61653
住,88157
上海,146358
经过,77863
非常,77769
低,93708
甚至,67489
听,33200
先,84867
一直,80100
学习,64885
仍,122861
办,25946
所以,93982
代表,203321
变,96984
最后,169845
一起,81961
万,376620
所有,154430
那么,18340
心,95823
越,86937
较,161952
办法,12885
路,419492
有些,36937
未,131141
通过,178005
找,55043
按,51318
拿,69326
解决,38337
一般,106113
另,148731
经,190712
半,114314
强,114295
或者,48915
时代,93627
手,137828
作品,208052
不断,36270
以后,44156
关于,66670
青年,55013
各种,53287
真,128648
其他,249841
农民,17181
那些,20974
余,89404
段,173140
有的,15653
买,29120
根本,12744
县,760868
作者,30959
者,582203
请,51088
叫,40714
感到,29972
怎么,6843
任何,76921
六,322934
表现,55298
反,84826
存在,97904
然而,82440
准备,39055
送,56165
约,400368
比较,47203
书记,69698
爱,243796
单位,145151
群众,13199
应当,7511
王,484095
早,96513
女,261615
门,235673
个人,126060
座,253470
全国,158524
意义,25330
花,161255
条件,40584
环境,73728
了解,23464
搞,9862
力量,47574
不仅,18135
目前,121315
经验,24280
产生,92406
真正,24909
回,212781
队,293131
有关,77814
字,167747
会议,97435
生命,33332
今年,5930
努力,20859
靠,22358
八,280053
市,829456
类,155255
共,162009
意见,23336
死,149567
民族,55459
块,44856
只要,19712
文学,67992
成功,102630
变化,75999
句,24838
管,68414
你们,7631
指,181950
地区,331762
方,154110
和,2436178
项,110118
注意,26626
当然,6990
达,441176
面,147616
坐,22308
家庭,63501
原因,53914
进入,126528
病,44489
介绍,39730
下来,19529
事情,19077
方式,100225
首,184202
计划,186700
人类,70802
报告,57495
世纪,148208
方法,67898
入,263684
信,126124
化,237342
步,39826
生,227163
声,128587
图,192472
电话,20788
能力,83584
片,139260
作用,50312
台,423814
如此,28838
困难,18124
多少,6545
打,118756
为什么,6253
随着,25832
谈,26561
支,91275
村,342526
米,477495
农村,20427
具有,85727
现代,68111
全部,52285
运动,116534
原,330802
内容,81709
帮助,49110
文艺,15287
放,50721
主任,86170
别,59260
事业,35022
汽车,45287
李,376188
技术,127692
中央,194608
口,157645
跟,63645
极,77127
记者,49135
只是,40471
报,108254
人员,102466
以来,53846
边,68083
觉得,15549
您,6335
双,124162
左右,40512
建设,75881
利用,68706
称,247831
怎样,4019
行为,60675
于是,61811
朋友,37351
正是,10658
受到,100729
人物,161541
深,104681
接受,85314
来到,28288
百,162995
这么,6954
山,786426
电,80609
发表,74874
些,8889
原来,22908
生产,87977
往,118160
大学,481884
认真,5710
过程,74266
有人,37958
风,82378
创造,28614
抓,10295
增加,80022
不过,90228
以上,63169
七,251281
它们,52988
南,578195
无法,91718
时期,152021
更加,22508
传统,78365
支持,117765
根据,146575
市场,66756
包括,275135
直接,71022
份,108613
机会,30782
政策,59831
科学,89147
几乎,39057
提高,28857
批,47290
金,391251
坚持,17201
可是,11524
实际,34222
完成,108598
引起,43201
代,220025
责任,22162
后来,151271
劳动,21985
任务,61548
知识,23230
周,205433
部队,82568
底,63471
部分,170372
母亲,60486
首先,19559
期,138196
保护,105626
理论,55749
形式,61284
医院,77442
不可,43907
云,121166
行动,84664
仍然,49453
处理,72821
远,77267
去年,4584
形成,84455
跑,18555
改变,44992
那样,8424
香港,458249
相信,22420
九,280847
中,1693787
老师,26282
新闻,119373
红,140425
仅,106648
地位,40543
除了,72124
企业,66297
刚,46390
加,393084
终于,19604
主席,99156
严重,57349
容易,25016
法律,62530
建立,103452
还,226903
其实,25019
服务,143609
意识,19220
自由,99483
实现,38165
着,81305
那,190038
光,246082
达到,59381
然后,44142
战争,128078
态度,17848
改革,40455
不是,76707
现实,16514
种,455859
说明,24442
使用,411500
初,97320
回答,9930
马,658713
共同,67126
卖,27880
规定,48630
一下,3820
管理,177855
越来越,13375
如今,11272
社会主义,23494
年代,154398
变成,36297
中心,233791
北,433037
东,544483
父亲,90095
国际,247888
高兴,4843
理解,15661
保持,37678
了,1830004
当,168161
选择,65559
某,42277
心理,27077
尽管,44254
气,32538
且,103267
斗争,13584
反对,64400
创作,70885
虽,25690
造成,84960
是否,36650
下去,6791
总是,13350
派,180326
获得,244174
联系,23279
之一,200749
也是,147406
城,362207
所谓,17050
安排,29078
目的,41287
伟大,11044
工人,26432
制度,47567
精神,37011
小时,70823
似乎,17183
篇,72362
制,131405
没,45272
下午,32923
算,17329
乱,30802
谁,18254
黑,140135
尤其,28113
老人,9016
部门,48816
儿,65692
水平,24533
按照,24097
机关,37544
心里,2021
民,165375
离开,59349
身体,36032
层,92976
笑,17472
吗,11900
面前,9352
基础,59228
树,88872
别人,9789
海,335197
常,108292
以前,32731
军,415914
读,47321
性,299956
价值,28934
套,35051
干,59466
结束,90330
妇女,20507
教授,74368
军事,77507
基本,51738
儿子,47394
西,798205
除,66548
区,744011
改,103855
并且,109139
那里,20925
均,117486
画,69471
建,226403
满,65671
统一,41498
重新,69801
方向,61437
活,44021
子,456513
往往,16872
考虑,27358
重大,22714
收,24004
旧,94574
之中,29411
人才,11415
总统,109774
感觉,15451
清,276080
具体,18024
式,264826
文章,28891
现象,30662
立即,17447
材料,31805
不得,17014
定,128137
证明,31301
热,65354
年轻,29029
接,73321
事实,27753
白,188484
分别,109917
矛盾,10729
不再,33788
积极,23100
语言,87940
千,146430
巨大,29302
节,104480
安全,75076
提供,149383
讨论,33212
取得,79663
始终,9180
程度,33772
留,55628
分析,44365
消息,29145
检查,21522
宣传,44621
世界,290076
相当,49382
好,115415
英国,202819
合作,96370
发出,29760
电影,281424
另外,88861
身上,17464
线,501897
肯定,10175
举行,118784
目标,50665
反映,14834
量,131409
笔,17789
医生,27211
成立,180282
交,51490
充分,8688
林,620486
突然,22384
工程,127057
户,86619
一边,9935
永远,13776
标准,71754
原则,19355
同样,44584
控制,91005
队伍,24461
结构,88766
晚上,26066
指出,45052
调查,80346
立,189484
农业,41584
家里,5326
难,29955
清楚,11286
采取,23789
群,95964
集中,30862
进一步,29961
明显,27565
粮食,9993
省,650885
结合,31520
保证,12749
团,196005
过,255419
喜欢,51260
动,52295
最近,18989
穿,46117
文,371236
收入,27601
求,20452
实行,24981
提,202944
及,920972
面对,22777
愿意,13122
厂,88632
系统,237363
形象,24613
竟,7136
晚,32822
短,50155
国内,41373
离,33956
人生,19176
权,90942
辆,51164
股,29748
充满,14032
论,71623
负责,145144
感情,13083
利益,17664
等等,25875
和平,42558
声音,24866
观念,8324
经常,50099
敢,12287
关心,6534
解释,33481
道德,13314
愿,18482
还有,72462
情,35542
同学,21435
进步,18600
力,136208
她们,14924
单,158951
经营,47159
作家,46834
根,130427
占,79934
教师,30418
记,77298
回来,9903
场,241489
出版,103935
组,207800
退,45194
也许,4628
重,138674
加强,20903
办公室,32864
健康,31300
换,22907
道路,62022
完,29540
迅速,23585
属,250759
正确,15535
产品,52796
信息,46798
深入,10022
胜利,34662
拉,900195
发挥,13582
读者,11209
眼睛,11110
船,73992
简单,25045
神,239287
飞,80757
台湾,419216
留下,22302
怕,7083
只,189547
忙,2307
女子,84745
排,43915
偏,30567
曾经,63731
项目,90179
专家,28838
重视,13741
来自,97511
设计,186069
黄,212670
丰富,18727
理想,14866
流,82827
公,166226
双方,35780
言,49572
刘,219438
欢迎,32235
恢复,49843
院,206029
唱,25857
不足,26929
属于,138131
工业,69586
音乐,201090
主,132167
满足,17772
掉,34821
包,43714
战,157360
质量,30124
自然,49881
抓住,4172
帮,19166
日子,8441
期间,150943
投资,49920
法国,177219
过去,47869
紧张,8668
眼,44032
夜,51716
平,260484
比赛,151466
阶段,46067
开发,95354
范围,71312
关,90591
分钟,52149
不知,21055
大会,56055
总理,36903
江,236027
楼,109403
全面,26361
未来,50526
京,91120
河,250895
人口,458801
扩大,21271
即使,24090
军队,62389
难以,18293
外国,22955
先进,13861
银行,78225
事件,135640
热情,5539
常常,14926
强烈,26603
必要,12902
文明,16444
手段,14290
级,234436
亩,9855
建议,42192
镇,294057
女儿,42053
特殊,40445
装,51032
陈,280130
复杂,21549
战士,31705
作为,199789
形势,5992
无论,14014
机构,88437
执行,74106
讲话,6229
以为,17132
若,110432
乡,191700
同意,36748
分子,34851
望,31231
摆,6693
实践,10331
科技,58022
建筑,133891
尚,82092
语,224764
之前,73972
广大,6459
届,203477
那个,9399
班,193016
长期,35551
观,47691
专门,25944
取,55388
大量,67881
改造,25909
土,92898
民主,91299
成绩,64089
随,82595
父母,25936
倍,35826
史,268364
培养,14540
哪里,3010
杯,78950
强调,21437
相互,18323
毛,90196
保,129762
超过,78174
正式,156558
著名,77034
诗,53225
章,83055
批评,41750
稳定,34683
明白,4380
停,31253
出口,29963
重点,30945
朝,179542
资金,19073
指导,26838
英,232608
状态,43500
祖国,5736
不但,9991
借,33378
报道,33469
药,29645
开展,15465
投入,34235
身,109166
高度,98814
直,80994
独立,107753
电视,137861
妈妈,10942
职工,6563
男,141547
增长,21010
各地,41206
费,97766
有时,37071
深刻,6611
以下,116347
刚刚,4491
主张,26627
教,88701
明确,15566
习惯,12636
调整,34701
交通,126204
因素,22465
养,16059
行政,137384
挂,18678
追求,10758
物,90060
关键,17236
措施,20378
坚决,4177
承认,32051
实,46927
集,228157
效果,26506
德国,146399
草,73540
宣布,114869
上午,21292
知,103928
共产党,55858
失去,32686
资源,43228
减少,37758
断,18588
领域,41066
封,101576
先后,41714
今后,2704
促进,21127
经历,41277
有效,33346
特点,17315
位置,73198
现代化,8606
就要,4419
价格,19598
部长,77278
过来,7220
观众,36703
值得,11563
轮,87304
正常,24693
脚,36260
地方,113550
破坏,41363
看来,4233
适应,11060
战略,21515
天气,13262
急,40624
度,155786
贡献,25790
突出,12746
欧洲,113991
掌握,12060
错误,22571
何,83721
病人,9438
对象,27702
确定,31496
实施,39524
此外,75620
委员会,195691
满意,4855
师,155043
英雄,39969
明,317741
驻,71676
冲,41675
在于,17515
合理,6646
普通,41271
竞争,23262
当地,98359
宗教,52484
联合,96905
业务,46843
物质,31230
表明,21121
训练,54411
一致,18352
组成,103203
专业,57863
官,138984
案,72568
网络,52865
治,209003
权利,23717
前进,13427
成果,11401
版,197670
网,127515
机,137790
显得,5780
脸,16256
自身,21105
指挥,43504
演出,88818
交流,40976
天津,50436
推,26885
设备,44459
哲学,35693
牛,68931
学者,44381
卫生,38031
缺乏,22980
表,246563
真实,21262
体现,8217
酒,43902
飞机,52532
文字,28143
歌,111184
严格,14081
火,54797
依然,18821
称为,141967
工,84166
资料,484728
型,240676
菜,35078
哪,7252
速度,42821
工资,4816
中国梦,655
至少,28104
儿童,42560
纷纷,9234
产业,35874
明天,4425
开放,48520
集体,11700
体系,27780
德,973124
鱼,116182
召开,28083
设,121346
轻,34647
监督,42660
体,176161
戏,23081
拍,23156
绿,45152
出发,16963
房,51163
实际上,29234
小说,87036
破,43057
兵,102641
现,101358
啊,7034
优秀,26914
必然,3989
业,80964
主动,13019
附近,80500
动物,76110
解放,20539
兼,81458
有所,26640
看见,12001
通知,13955
广告,45735
体制,10867
当前,8415
从事,31481
至今,45777
加入,116331
当年,28190
财政,32384
颗,62275
为,2838576
跳,19909
弄,11848
广泛,35236
及时,7487
良好,15694
各国,21138
专,30771
普遍,24647
损失,21056
团结,11207
梦,62405
姑娘,4859
需,51348
死亡,63700
毕业,94266
倒,23867
室,101746
比如,20290
名字,52954
职业,70395
角,116457
杀,104413
从而,26164
应,104307
刺,44287
般,22922
油,35913
制定,19587
华,310587
校,106508
互相,18231
上来,3521
加上,42047
参与,119294
苦,13631
男子,69297
面积,248546
直到,59461
出去,6392
符合,17048
本来,11675
架,75854
身边,9229
幸福,13710
确实,8013
状况,32476
空间,56671
都,545268
逐渐,46901
推动,24018
犯罪,23402
美元,63457
打击,23004
危险,18961
说话,9564
表演,49833
报纸,13993
公开,54904
显示,61717
州,725847
采用,88224
最终,129295
运用,20940
久,63446
委员,109689
亦,258130
商品,16795
规律,3882
观察,26187
鼓励,14867
局,306019
优势,17288
体育,49745
大力,6782
自我,15321
不管,5280
马上,5912
走向,17757
西方,31175
合同,11097
空气,19205
为,2838576
各个,15726
周围,19439
商业,60014
负,25750
古,219084
打开,10391
太阳,57395
选,89941
特色,28275
内部,43949
接着,4420
夫人,31712
石,227466
给予,28449
亲,41701
居民,56193
亮,32374
不久,43088
故事,100209
顶,41984
差,38900
维护,17618
似,13920
本身,27875
规模,50613
权力,27468
领,42294
文件,34803
吨,26952
创,40912
阳光,8691
分配,19588
雨,36050
加快,4266
整个,43965
田,360301
社,165951
综合,45054
南京,54880
硬,23253
印,86315
国务院,30549
铁路,189436
拥有,115183
标题,11598
到底,4949
平均,74309
实在,4288
附,21963
公路,58053
泥,16632
居,59450
致,27391
供,37037
中间,23991
运,92777
必,29359
制造,66691
方便,15827
例,59604
应用,61122
曾,408734
热烈,3432
落实,5922
保障,16000
彻底,11956
素质,2843
成员,153957
创新,15678
得了,1836
贯彻,2352
任,323379
局面,5858
观点,22741
象,26862
美丽,15619
电子,71212
方案,34593
功能,59190
懂,6245
成就,17045
忘,5749
服,30755
增强,16137
降,42578
胜,85962
机制,16767
对方,24879
公里,151526
长,584316
呀,2273
上面,12009
全体,11672
再次,62175
反应,62431
因而,34382
铁,145242
推进,15403
民间,27475
客人,4841
坏,11747
阿,607605
享受,6776
地,679035
印度,86757
消费,18308
广州,63943
意,62802
准,46111
归,42004
照,25622
那时,7536
幅,15306
吸引,21330
完善,6796
行业,13086
改善,23214
某些,26976
引,23643
情绪,11665
党员,13767
尊重,8870
盖,66945
感受,7899
