word,frequencies
的,15133416
是,3100137
在,4043923
一,380377
不,287326
有,1199797
这,436976
个,313528
上,599466
也,950317
他,1093952
人,1143231
就,290892
对,561184
说,166971
我,188778
要,142710
到,388988
大,387444
我们,77021
多,207629
把,152350
来,211265
等,709459
年,6491566
两,125594
从,363686
而,916380
能,163464
又,230694
他们,255805
以,876247
时,617724
没有,285436
会,510031
之,780732
但,614470
三,198840
被,1157496
很,117434
下,300993
自己,235102
后,905338
中国,808916
并,798522
使,168413
向,243567
已,195918
出,74134
用,152832
新,327282
所,283956
里,214127
给,103277
她,314841
更,171912
次,111037
最,169555
于,1150917
可以,380518
可,212475
去,85336
由,858530
问题,144190
小,227542
工作,236215
让,176026
其,580839
你,85991
这个,153264
生活,140165
起,155229
这样,52758
天,116995
它,210504
高,288118
做,75987
家,121453
已经,133147
再,108371
或,460398
才,123602
前,331877
走,30700
这些,147236
一些,140513
却,124115
二,113047
条,53517
位,98045
起来,39140
各,105818
成,132404
什么,32361
元,133645
现在,115930
社会,189433
比,158330
同,66920
四,86839
关系,139598
名,233630
想,47646
如,168562
第一,427068
因为,241239
该,322059
开始,348218
许多,128664
内,212657
时间,221284
人们,44507
今天,19618
国家,375748
本,180734
点,67412
思想,36402
至,590945
此,195253
一定,41247
如果,80849
副,126440
无,105211
张,238033
同时,214076
需要,110226
月,3395057
则,361619
重要,118493
为了,162568
日,2544110
老,41120
就是,101464
作,136854
五,70384
人民,340043
事,53747
认为,242095
成为,367196
像,64770
北京,161707
历史,280139
水,77903
方面,113208
情况,101827
而且,59671
党,42252
学生,156140
每,67700
这里,30752
但是,123234
孩子,37533
可能,187715
发生,152024
必须,68473
只有,89712
外,101552
要求,104581
全,84464
发现,174555
进行,314546
特别,116596
因,276516
岁,169928
得到,98139
件,8940
文化,203193
分,147822
便,103571
同志,10580
发展,199266
即,165216
日本,489743
总,87922
因此,224136
对于,96734
领导,83784
带,64550
既,13415
时候,64909
钱,35394
自,158285
政府,394422
吃,24432
非,90023
决定,122262
进,50955
还是,47198
受,91463
国,138978
应该,33629
近,53435
美,168244
政治,237576
话,95092
公司,436502
干部,20876
出现,168245
开,45202
一切,28366
研究,464457
认识,21648
写,36456
十分,42855
十,26124
站,370436
之间,147219
问,17881
希望,63765
快,24383
虽然,109639
相,34728
美国,540941
知道,40102
讲,21419
大家,19310
学校,229834
组织,176316
见,65633
由于,237685
正在,34407
法,101561
表示,186341
一样,62923
活动,162726
如何,25831
教育,173482
书,76731
据,50130
城市,153566
道,176486
艺术,117932
经济,169293
以及,303659
部,109139
影响,159673
太,67638
其中,286116
学,51542
先生,47965
完全,72639
连,70648
主要,292411
继续,81378
头,48603
革命,87305
之后,226108
参加,156873
能够,63342
住,32452
上海,149105
经过,80400
非常,82279
低,50292
甚至,68159
听,18062
先,54365
一直,80350
学习,67958
仍,111601
办,12078
所以,99414
代表,243371
变,19563
最后,170655
一起,82744
万,140769
所有,161330
那么,18364
心,48196
越,47033
较,105855
办法,13049
路,173788
有些,37661
未,81549
通过,180783
找,17272
按,43288
拿,34488
解决,39041
一般,110006
另,116661
经,127720
半,43123
强,64391
或者,48939
时代,106695
手,45669
作品,211640
不断,36679
以后,44590
关于,69059
青年,61465
各种,55328
真,84465
其他,282780
农民,18127
那些,20974
余,33348
段,41580
有的,0
买,10916
根本,12841
县,263448
作者,46308
者,145203
请,36107
叫,24431
感到,30281
怎么,7529
任何,84279
六,45357
表现,58382
反,46698
存在,102221
然而,83369
准备,39918
送,17236
约,217165
比较,48390
书记,78633
爱,117467
单位,147456
群众,14134
应当,7985
王,319761
早,21006
女,127499
门,71119
个人,130990
座,89356
全国,158828
意义,27765
花,83906
条件,43178
环境,75958
了解,25744
搞,3981
力量,49274
不仅,20285
目前,121766
经验,24752
产生,93750
真正,25009
回,60643
队,87565
有关,80893
字,114807
会议,121992
生命,37208
今年,6361
努力,20859
靠,16848
八,42471
市,188491
类,55270
共,110232
意见,25340
死,72747
民族,73705
块,8432
只要,19785
文学,96087
成功,106539
变化,76456
句,8740
管,26697
你们,7631
指,150209
地区,355023
方,58627
和,2316424
项,21353
注意,29566
当然,7789
达,142545
面,51772
坐,9748
家庭,68570
原因,53944
进入,131500
病,16960
介绍,40534
下来,31956
事情,22652
方式,103910
首,43017
计划,190420
人类,77775
报告,59520
世纪,162279
方法,74481
入,73772
信,69916
化,54647
步,13115
生,107374
声,63794
图,84270
电话,23815
能力,84564
片,24623
作用,57400
台,133189
如此,29686
困难,18138
多少,6805
打,39269
为什么,6392
随着,27756
谈,16636
支,36234
村,231328
米,287483
农村,20464
具有,86992
现代,78395
全部,55384
运动,233074
原,167365
内容,82675
帮助,49134
文艺,20913
放,11501
主任,88138
别,29037
事业,38706
汽车,51551
李,267648
技术,135293
中央,207683
口,40262
跟,63117
极,32083
记者,49542
只是,42727
报,24499
人员,105306
以来,57726
边,24616
觉得,15995
